INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (1, 54, 4859, '2022-08-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (2, 72, 4710, '2020-10-10');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (3, 78, 5362, '2020-11-07');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (4, 25, 3974, '2023-10-29');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (5, 84, 5235, '2022-05-30');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (6, 76, 3610, '2021-06-02');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (7, 48, 3923, '2021-09-13');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (8, 97, 163, '2020-02-16');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (9, 97, 3998, '2021-12-15');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (10, 56, 5797, '2023-11-14');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (11, 92, 2524, '2020-06-13');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (12, 92, 1113, '2020-10-12');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (13, 57, 3927, '2020-06-18');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (14, 58, 3181, '2022-10-04');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (15, 45, 1081, '2023-04-12');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (16, 70, 2136, '2023-02-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (17, 55, 1656, '2022-01-25');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (18, 51, 3700, '2020-10-24');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (19, 41, 5160, '2020-11-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (20, 49, 1118, '2023-08-24');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (21, 7, 5727, '2021-12-28');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (22, 42, 5162, '2021-09-21');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (23, 79, 4573, '2021-07-12');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (24, 4, 52, '2023-07-03');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (25, 25, 1752, '2021-05-07');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (26, 99, 3313, '2023-03-06');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (27, 14, 1872, '2020-03-16');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (28, 12, 4370, '2021-11-08');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (29, 54, 2886, '2020-08-28');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (30, 1, 3713, '2023-06-10');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (31, 4, 475, '2023-02-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (32, 59, 5551, '2021-07-23');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (33, 29, 2024, '2023-08-16');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (34, 59, 4239, '2020-08-27');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (35, 53, 731, '2022-11-12');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (36, 78, 5330, '2020-11-04');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (37, 69, 4019, '2020-09-29');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (38, 62, 4037, '2023-06-23');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (39, 61, 2338, '2020-12-20');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (40, 33, 1679, '2020-06-21');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (41, 21, 3335, '2023-09-19');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (42, 48, 3093, '2023-10-18');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (43, 28, 2025, '2022-06-22');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (44, 97, 2352, '2022-11-03');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (45, 16, 4749, '2022-08-20');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (46, 18, 4358, '2020-11-11');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (47, 21, 5839, '2023-01-23');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (48, 10, 1030, '2020-07-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (49, 46, 4027, '2021-11-02');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (50, 7, 3324, '2021-01-10');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (51, 2, 5324, '2021-12-22');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (52, 48, 3870, '2023-09-09');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (53, 81, 2572, '2021-07-14');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (54, 82, 3006, '2020-11-17');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (55, 62, 2010, '2022-03-09');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (56, 27, 493, '2020-10-30');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (57, 89, 4166, '2021-09-25');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (58, 53, 1768, '2022-06-27');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (59, 84, 3316, '2022-03-12');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (60, 40, 2862, '2020-03-07');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (61, 46, 2635, '2023-11-27');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (62, 95, 1675, '2023-03-05');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (63, 13, 1854, '2020-02-23');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (64, 14, 4763, '2022-09-10');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (65, 26, 5582, '2020-09-23');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (66, 97, 1432, '2020-02-27');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (67, 9, 4923, '2023-08-09');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (68, 90, 2291, '2022-03-01');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (69, 74, 1697, '2023-05-10');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (70, 54, 5728, '2020-09-06');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (71, 35, 4712, '2022-03-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (72, 48, 3655, '2022-02-16');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (73, 42, 4779, '2022-08-23');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (74, 61, 3185, '2020-07-07');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (75, 84, 1013, '2020-12-14');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (76, 66, 5762, '2021-05-01');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (77, 1, 5359, '2020-02-03');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (78, 10, 4880, '2022-04-07');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (79, 89, 2292, '2020-10-22');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (80, 90, 4195, '2021-08-29');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (81, 97, 4462, '2020-01-08');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (82, 69, 1144, '2023-07-17');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (83, 99, 2659, '2020-12-22');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (84, 25, 2511, '2022-11-22');
