INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (1, 24, 2698, '2021-11-08');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (2, 53, 484, '2020-09-30');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (3, 23, 3839, '2022-04-11');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (4, 37, 4710, '2020-04-03');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (5, 28, 5464, '2021-05-20');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (6, 100, 2360, '2023-05-11');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (7, 67, 2902, '2022-03-17');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (8, 89, 4908, '2021-02-17');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (9, 71, 4583, '2023-10-06');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (10, 70, 3764, '2023-04-01');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (11, 70, 135, '2020-02-20');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (12, 53, 2668, '2020-04-03');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (13, 93, 5641, '2023-01-29');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (14, 100, 702, '2023-02-22');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (15, 30, 2685, '2022-04-05');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (16, 41, 208, '2022-09-26');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (17, 37, 3657, '2020-01-29');
INSERT INTO watchlists (watch_id, user_id, title_id, viewed_at) VALUES (18, 28, 864, '2022-09-08');
